CSA,CSA_name,1-2units,+3units
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",136174,63364
148,"Boston-Worcester-Providence, MA-RI-NH-CT",71045,57752
176,"Chicago-Naperville, IL-IN-WI",45693,14690
206,"Dallas-Fort Worth, TX-OK",189949,150573
216,"Denver-Aurora, CO",79600,67976
220,"Detroit-Warren-Ann Arbor, MI",45326,12381
288,"Houston-The Woodlands, TX",258944,105905
348,"Los Angeles-Long Beach, CA",62747,128721
370,"Miami-Fort Lauderdale-Port St. Lucie, FL",60513,78889
378,"Minneapolis-St. Paul, MN-WI",55957,38144
408,"New York-Newark, NY-NJ-CT-PA",105348,268015
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",68738,40563
488,"San Jose-San Francisco-Oakland, CA",65722,99273
500,"Seattle-Tacoma, WA",88733,92982
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",152567,106168
