CSA,CSA_name,CSA_short,TotalPop00,TotalHousing00,TotalPOP17,TotalHousing17,Total_emp00,Total_emp17
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",Atlanta,4778990,1853158,6555956,2565044,418865,2844759
148,"Boston-Worcester-Providence, MA-RI-NH-CT",Boston,7630016,3135867,8233270,3482074,265445,4120001
176,"Chicago-Naperville, IL-IN-WI",Chicago,4088612,1516964,4690448,1813562,586991,2058285
206,"Dallas-Fort Worth, TX-OK",Dallas,5565005,2180002,7811847,2979956,751903,3584626
216,"Denver-Aurora, CO",Denver,2629980,1068646,3447033,1390357,761298,1692056
220,"Detroit-Warren-Ann Arbor, MI",Detroit,5456428,2208124,5336286,2356800,964603,2312528
288,"Houston-The Woodlands, TX",Houston,4878216,1865805,7093190,2686600,90659,2968025
348,"Los Angeles-Long Beach, CA",Los Angeles,12365627,4240393,13353907,4644752,392822,5989256
370,"Miami-Fort Lauderdale-Port St. Lucie, FL",Miami,5475847,2379888,6828241,2854735,443388,2720504
378,"Minneapolis-St. Paul, MN-WI",Minneapolis,3335000,1312902,3946533,1590957,208662,2063585
408,"New York-Newark, NY-NJ-CT-PA",New York,21491898,8341615,22994151,9099185,2090193,10420967
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Philadelphia,6688798,2740528,7206807,3010511,215062,3219678
488,"San Jose-San Francisco-Oakland, CA",San Francisco,7656194,2856934,8837789,3271034,588908,4233345
500,"Seattle-Tacoma, WA",Seattle,3775744,1564957,4764736,1984377,440290,2249725
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Washington,7981257,3204298,9764315,3832744,366486,4731047
