CSA,CSA_name,Total_emp00,Total_emp08,Total_emp17,emp_NET00-08,emp_%00-08,emp_NET08-17,emp_%08-17
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",2413348,2551161,2844774,137813,0.057104487210298725,293613,0.11508995316250131
148,"Boston-Worcester-Providence, MA-RI-NH-CT",3834847,3824178,4121641,-10669,-0.0027821188172565945,297463,0.077784820685648
176,"Chicago-Naperville, IL-IN-WI",4534271,4478885,4631371,-55386,-0.012214973476441968,152486,0.03404552695592765
206,"Dallas-Fort Worth, TX-OK",2844521,3071476,3586036,226955,0.07978671980273656,514560,0.16752857583780567
216,"Denver-Aurora, CO",1426753,1451976,1692477,25223,0.017678603093878198,240501,0.1656370353228979
220,"Detroit-Warren-Ann Arbor, MI",2531382,2198794,2312726,-332588,-0.13138593859006661,113932,0.05181567713937731
288,"Houston-The Woodlands, TX",2271793,2617373,2969515,345580,0.15211773255749975,352142,0.13454024321332878
348,"Los Angeles-Long Beach, CA",6793720,7225774,7741633,432054,0.063596085796883,515859,0.07139152151727968
370,"Miami-Fort Lauderdale-Port St. Lucie, FL",2254815,2460406,2720909,205591,0.09117865545510385,260503,0.10587805427234367
378,"Minneapolis-St. Paul, MN-WI",1878800,1916797,2063304,37997,0.020224079199489035,146507,0.07643323732247077
408,"New York-Newark, NY-NJ-CT-PA",9482723,9712955,10423589,230232,0.0242791021102272,710634,0.0731635223266246
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",3068950,3161286,3219771,92336,0.030087163362061943,58485,0.018500382439298437
488,"San Jose-San Francisco-Oakland, CA",3863329,3673486,4232644,-189843,-0.04913974450532171,559158,0.15221454498533546
500,"Seattle-Tacoma, WA",1864356,2005741,2249890,141385,0.07583583821973915,244149,0.12172508813450988
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",4096584,4445562,4731197,348978,0.08518756114850812,285635,0.06425171890528127
