STCO,Total_emp17
06065,713182
06071,730004
06111,322344
17031,2572191
06001,771652
06013,366720
06041,115432
06055,76762
06069,16975
06075,716917
06077,248066
06081,400511
06085,1071448
06087,104279
06095,138371
06097,205511
06037,4381836
06059,1594267
08001,204964
08005,328169
08013,179825
08014,37867
08019,2998
08031,506049
08035,121139
08039,3560
08047,4878
08059,232938
08093,2481
08123,105476
09001,420100
09005,60552
09009,363972
34003,443722
34013,340496
34017,260164
34019,46912
34021,247445
34023,422763
34025,258894
34027,288157
34029,165638
34031,166186
34035,187219
34037,38258
34039,219341
34041,33438
36005,301247
36027,112155
36047,711873
36059,629006
36061,2461393
36071,142550
36079,26523
36081,662527
36085,115831
36087,123811
36103,660084
36111,60388
36119,426170
09015,38772
25001,97262
25005,226304
25009,325362
25017,900749
25021,352059
25023,193131
25025,672324
25027,346730
33001,25829
33011,201736
33013,76799
33015,149062
33017,48165
44001,13699
44003,75056
44005,40159
44007,285569
44009,52874
10001,66322
10003,288048
24015,31827
34001,123400
34005,204549
34007,203821
34009,41372
34011,58953
34015,107550
34033,20962
42011,171379
42017,263466
42029,249630
42045,222510
42091,492934
42101,673048
11001,763847
24003,270987
24005,374732
24009,24268
24013,58683
24017,41666
24019,10869
24021,100627
24025,93414
24027,170419
24031,469311
24033,318943
24035,14689
24037,43797
24041,19370
24043,66575
24510,340218
42055,58172
51013,176659
51043,3995
51047,15769
51059,601868
51061,22116
51069,31265
51107,164537
51153,127892
51157,1535
51177,35773
51179,43007
51187,12284
51510,93774
51600,19200
51610,12102
51630,24901
51683,22358
51685,3508
51840,25214
54003,33663
54027,3742
54037,15448
12011,797509
12061,51149
12085,66782
12086,1122550
12093,11762
12099,596686
12111,74471
13013,18416
13015,36722
13035,6329
13045,39986
13057,58741
13059,71145
13063,123044
13067,357204
13077,37789
13085,9035
13089,297451
13097,42120
13113,43637
13117,72778
13121,851423
13129,21471
13135,352117
13139,85486
13143,6534
13149,2077
13151,58470
13157,26377
13159,2218
13171,3535
13195,3079
13199,4819
13211,7047
13217,24384
13219,11352
13221,1658
13223,23480
13227,7687
13231,2850
13233,11047
13247,31800
13255,22633
13285,39605
13293,6499
13297,22729
17011,11898
17037,37638
17043,620473
17063,19200
17089,209820
17091,44961
17093,28503
17097,335598
17099,42841
17111,97742
17155,1847
17197,239989
18073,12055
18089,187601
18091,40258
18111,3253
18127,59111
55059,66392
26049,134077
26087,21243
26091,26984
26093,61112
26099,326828
26115,40602
26125,728374
26147,44624
26161,210215
26163,718667
27003,122342
27009,17474
27019,39091
27025,15443
27037,188304
27049,21590
27053,915718
27059,10830
27079,8862
27085,16305
27095,9632
27123,331665
27131,24912
27139,52918
27141,25600
27143,4410
27145,86692
27163,84669
27171,43300
55093,10026
55109,33521
40013,17566
48085,398536
48097,14142
48113,1685333
48121,239187
48139,49371
48181,45875
48213,16886
48221,15539
48223,12566
48231,29567
48251,46572
48257,31252
48349,16270
48363,8648
48367,32071
48397,29562
48425,3805
48439,873867
48497,19421
48015,10018
48039,106978
48071,13924
48157,178763
48167,109977
48201,2272758
48291,16961
48321,10809
48339,175953
48455,2288
48471,24547
48473,16276
48477,14685
48481,15578
53029,16375
53033,1356141
53035,87299
53041,25708
53045,14024
53053,302409
53057,50695
53061,283975
53067,113264
36105,26774
