GEOID,NAMELSAD,NAME,CSA,ALAND_mi,TotalHousing16,Owners16,renters16
644000,"Los Angeles city, California",Los Angeles,348,468.65867000000003,1447026,496667,859644
653000,"Oakland city, California",Oakland,488,55.89604,169654,62943,95994
667000,"San Francisco city, California",San Francisco,488,46.905640000000005,386755,131331,225466
668000,"San Jose city, California",San Jose,488,177.5141,328185,181122,136195
820000,"Denver city, Colorado",Denver,216,153.30483,299338,138870,142202
1150000,"Washington city, District of Columbia",Washington,548,61.139880000000005,306711,112672,163874
1245000,"Miami city, Florida",Miami,370,35.986909999999995,194277,49344,112261
1304000,"Atlanta city, Georgia",Atlanta,122,133.43344,231432,81417,107926
1714000,"Chicago city, Illinois",Chicago,176,227.3401,1194098,459889,582690
2507000,"Boston city, Massachusetts",Boston,148,48.34364,281417,89882,169442
2622000,"Detroit city, Michigan",Detroit,220,138.7186,365859,123808,133177
2743000,"Minneapolis city, Minnesota",Minneapolis,378,54.0008,181348,80520,89283
2758000,"St. Paul city, Minnesota",St. Paul,378,51.9743,119625,55745,56826
3651000,"New York city, New York",New York,408,300.36188,3436084,1000242,2128004
4260000,"Philadelphia city, Pennsylvania",Philadelphia,428,134.17818,671125,305214,277380
4819000,"Dallas city, Texas",Dallas,206,339.95917000000003,543275,204302,283553
4827000,"Fort Worth city, Texas",Fort Worth,206,344.80336,306326,158379,121047
4835000,"Houston city, Texas",Houston,288,636.51076,937245,359118,472048
5363000,"Seattle city, Washington",Seattle,500,83.83377,322795,140436,163721
